CaseID,no_healthins,NoHlthInsMV2,NoHlth_1_LowTer,NoHlth_1_HighTer,pct_college,CollegeMV2,Coll_1_LowTer,Coll_1_HighTer,pct_transit,TransitMV2,Trans_1_LowTer,Trans_1_HighTer,pct_service,Serv_Ter,Serv_1_LowTer,Serv_1_HighTer,pct_overcrowded1,OverCr_Ter,OcerCr_1_Low,OverCr_1_High,limited_engl,LimEnglMV2,LimEng_1_LowTer,LimEng_1_HighTer,ICE_blacknh,ICE_BlkNH_MV2,ICEBLK_1_HighTer,ICEBLK_1_LowTer,ICE_inc,ICE-incMV2,ICEInc_1_LowTer,ICEinc_1_HighTer,March18_Rate,MarchRateMV,PersistentlyLowMarch,April18_Rate,AprilRateMV,PersistentlyLowApril,May18_Rate,MayRateMV,PersistentlyLowMay
19102,2.70%,0,1,0,85.60%,2,0,1,19.10%,0,1,0,1.90%,0,1,0,1.10%,0,1,0,2.40%,1,0,0,0.681182905,2,1,0,0.320349228,2,0,1,3963,2,0,5508,2,0,7482,2,0
19103,2.80%,0,1,0,81.40%,2,0,1,17.00%,0,1,0,4.30%,0,1,0,1.80%,1,0,0,2.80%,1,0,0,0.659358355,2,1,0,0.217129231,2,0,1,3846,2,0,5490,2,0,6727,2,0
19104,5.10%,0,1,0,38.50%,1,0,0,28.50%,1,0,0,9.90%,2,0,1,4.70%,2,0,1,4.90%,2,0,1,-0.072987056,1,0,0,-0.389846041,0,1,0,1553,1,0,3181,1,0,4757,2,0
19106,3.40%,0,1,0,77.40%,2,0,1,25.80%,1,0,0,2.40%,0,1,0,1.90%,1,0,0,1.40%,0,1,0,0.686222222,2,1,0,0.468016567,2,0,1,3402,2,0,4635,2,0,6247,2,0
19107,4.10%,0,1,0,67.70%,2,0,1,23.10%,1,0,0,9.50%,1,0,0,3.30%,2,0,1,7.10%,2,0,1,0.475029206,2,1,0,0.005019672,1,0,0,3605,2,0,5294,2,0,7059,2,0
19114,4.50%,0,1,0,25.80%,1,0,0,10.30%,0,1,0,7.50%,0,1,0,1.00%,0,1,0,2.30%,1,0,0,0.655438619,2,1,0,0.047967355,1,0,0,1929,1,0,3297,1,0,4152,1,0
19115,6.90%,1,0,0,35.90%,1,0,0,12.40%,0,1,0,6.30%,0,1,0,2.60%,2,0,1,18.50%,2,0,1,0.593056643,2,1,0,-0.003413961,1,0,0,2295,2,0,3430,1,0,4270,1,0
19118,4.90%,0,1,0,65.30%,2,0,1,20.60%,0,1,0,4.10%,0,1,0,0.90%,0,1,0,2.60%,1,0,0,0.465701987,1,0,0,0.306651635,2,0,1,2356,2,0,3483,2,0,4293,1,0
19119,5.70%,0,1,0,48.00%,2,0,1,27.80%,1,0,0,6.30%,0,1,0,0.70%,0,1,0,1.00%,0,1,0,-0.266237964,1,0,0,0.108717519,2,0,1,2274,2,0,3607,2,0,4576,2,0
19120,13.80%,2,0,1,13.80%,0,1,0,22.30%,1,0,0,9.10%,1,0,0,3.60%,2,0,1,14.90%,2,0,1,-0.439623321,0,0,1,-0.232655348,0,1,0,1018,0,1,2034,0,1,2964,0,1
19121,10.10%,2,0,1,14.90%,0,1,0,38.30%,2,0,1,16.90%,2,0,1,1.30%,0,1,0,2.40%,1,0,0,-0.613379755,0,0,1,-0.49933222,0,1,0,1773,1,0,2948,1,0,4015,1,0
19122,9.70%,2,0,1,25.30%,1,0,0,31.20%,2,0,1,15.00%,2,0,1,3.90%,2,0,1,12.70%,2,0,1,-0.084103304,1,0,0,-0.261644889,0,1,0,1669,1,0,3202,1,0,4260,1,0
19123,6.90%,1,0,0,55.60%,2,0,1,24.20%,1,0,0,6.40%,0,1,0,1.90%,1,0,0,3.40%,1,0,0,0.191059244,1,0,0,0.102806224,2,0,1,2600,2,0,4111,2,0,5443,2,0
19124,12.20%,2,0,1,10.70%,0,1,0,24.80%,1,0,0,10.20%,2,0,1,3.00%,2,0,1,11.10%,2,0,1,-0.229768723,1,0,0,-0.285525213,0,1,0,979,0,1,1932,0,1,2859,0,1
19125,9.60%,1,0,0,42.30%,2,0,1,26.70%,1,0,0,10.50%,2,0,1,2.10%,1,0,0,3.80%,1,0,0,0.70795169,2,1,0,0.099416362,2,0,1,2382,2,0,3822,2,0,5109,2,0
19126,11.70%,2,0,1,21.90%,1,0,0,30.40%,2,0,1,8.00%,1,0,0,1.30%,0,1,0,2.40%,1,0,0,-0.76145748,0,0,1,-0.173266471,1,0,0,1706,1,0,2824,1,0,3838,1,0
19127,7.40%,1,0,0,59.20%,2,0,1,18.90%,0,1,0,15.60%,2,0,1,0.60%,0,1,0,0.80%,0,1,0,0.719171325,2,1,0,0.192961645,2,0,1,1965,1,0,3484,2,0,4943,2,0
19128,5.20%,0,1,0,48.80%,2,0,1,15.70%,0,1,0,5.60%,0,1,0,2.20%,1,0,0,1.60%,0,1,0,0.647184735,2,1,0,0.224981329,2,0,1,2053,2,0,3302,1,0,4295,1,0
19129,6.20%,0,1,0,54.00%,2,0,1,24.50%,1,0,0,7.40%,0,1,0,0.00%,0,1,0,1.00%,0,1,0,0.162406015,1,0,0,0.114884887,2,0,1,2365,2,0,3660,2,0,4812,2,0
